Questões Corretas,Questões Erradas
"11 FUB  2015 Os direitos fundamentais, considerados como cláusula pétrea das constituições, podem sofrer limitações por ponderação judicial caso estejam em confronto com outros direitos fundamentais, por alteração legislativa, via emenda constitucional, desde que, nesse último caso, seja respeitado o núcleo essencial que os caracte riza. Comentários: É possível, sim, que sejam impostas limitações aos direitos fundamentais, mas desde que seja respeitado o núcleo essencial que os caracteriza. Em um caso concreto no qual haja o conflito entre direitos fundamentais, o juiz irá aplicar a técnica da ponderação harmonização","MPE SC  2014 Constituem objetivos fundamentais da República Federativa do Brasil: construir uma sociedade soberana, justa e solidária; garantir o desenvolvimento internacional; err adicar a pobreza e a marginalização e reduzir as desigualdades sociais e regionais; promover o bem de todos, sem preconceitos de origem, raça, sexo, cor, idade e quaisquer outras formas de discriminação. Comentários: Há dois erros na assertiva. Primeiro, é objetivo fundamental construir uma sociedade livre , justa e solidária. Segundo, é o objetivo fundamental garantir o desenvolvimento nacional"
"15 deteria proteção jurídica.12 Assim, a interrupção da gravidez de feto anencéfalo não é tipificada como crime de aborto. Outra controvérsia levada à apreciação do STF envolvia a pesquisa com células tronco embrionárias. Segundo a Corte, é legítima e não ofende o direito à vida nem, t ampouco, a dignidade da pessoa humana, a realização de pesquisas com células tronco embrionárias, obtidas de embriões humanos produzidos por fertilização  in vitro  e não utilizados neste procedimento.13 Por fim, cabe destacar que nem mesmo o direito à vid a é absoluto , sendo admitida pela Constituição Federal de 1988 a pena de morte em caso de guerra declarada. A doutrina considera que, por se tratar de cláusula pétrea, emenda constitucional não pode estabelecer, no Brasil, novas hipóteses de pena de morte. Essa ampliação não poderia nem mesmo ser feita por meio de uma nova Constituição, em respeito ao princípio da vedação ao retrocesso.14 CGM João Pessoa  2018  Os direitos e as garantias fundamentais constitucionais estendem se aos estrangeiros em trânsito no território nacional, mas não às pessoas jurídicas, por falta de previsão constitucional expressa. Comentários: As pessoas jurídicas também são titulares de direitos fundamentais. Questão errada. MPE RS  2014 Ainda que o siste ma jurídico constitucional pátrio consagre o direito à vida como direito fundamental, ele admite excepcionalmente a pena de morte. Comentários: Nenhum direito fundamental é absoluto, inclusive o direito à vida. Em caso de guerra declarada, admite se a pena de morte",38 SEFAZ RS  2019 A solução pacífica dos conflitos é um dos objetivos fundamentais da R epública Federativa do Brasil. Comentários: A solução pacífica dos conflitos é um princípio das relações internacionais adotados pelo Brasil
"19 PGE RS  2015 Ao julgar a ação direta de inconstitucionalidade em que se questionava a inconstitucionalidade de lei determinando a fixação de cotas raciais em Universidades e ao julgar a ação declaratória de constitucionalidade em que se questionava a inconstitucionalidade da Lei Maria da Penha, o STF acolheu uma concepção formal de igua ldade, com o reconhecimento da vedação a toda e qualquer forma de discriminação, salvo a hip ótese de discriminação indireta. Comentários: Nas duas situações, o STF acolheu uma concepção material de igualdade. No primeiro caso cotas raciais, considerou se legítimo o uso de ações afirmativas pelo Estado; no segundo, o STF considerou legítimas medidas especiais para coibir a violência doméstica contra as mulheres. Em ambos os casos, aplicou se um tratamento desigual, mas para pessoas que estão em situações diferentes , o que está em conformidade com a ideia de igualdade material. Questão errada. PGM Niterói  2014 O direito fundamental à igualdade é compatível com a existência de limite de idade para a inscrição em concurso público, sempre que justificado pela natureza das atribuições do cargo a ser preenchido. Comentários: O STF considera legítima a previsão de limites de idade em concursos públicos, quando justificada pela natureza das atribuições do cargo a ser preenchido","TRT 6ª Região  2018 À luz do que dispõe a Constituição Federal quanto aos seus princípios funda mentais, a República Federativa do Brasil tem como um de seus fundamentos a cooperação entre os povos para o progresso da humanidade. Comentários: A cooperação entre os povos para o progresso da humanidade é princípio das relações internacionais e não fundamento da RFB!"
"21 É exatamente isso. O princípio da legalidade é mais amplo, pressupondo o respeito à lei e outros atos normativos. Já o princípio da reserva legal é mais restrito, referindo se tão somente à exigência de lei formal",55 25. PUC PR  Prefeitura de Maringá  2015 A República Federativa do Brasil é formada pela união indissolúvel de Entes Federativos soberanos. Comentários: Os entes federativos são autônomos. Somente a República Federativa do Brasil é soberana
"25 Comentários: A CF88 garante a liberdade de manifestação do pensamento, mas veda o anonimato . Assim, pode se afirmar que há um ônus para aquele que exerce sua liberdade de expressão, que é o de se identificar e assumir a autoria daquilo que expressar. Busca se, por meio da vedação ao anonimato, garantir a possibilidade de responsabilização daquele que praticar abusos no exercício da liberdade de expressão","8 que as normas que os instituem não podem ser revogadas ou substituídas por outras que os diminuam, restrinjam ou suprimam. Segundo Canotilho, baseado no princípio do não retrocesso social , os direitos sociais , uma vez tendo sido previstos, passam a constituir tanto uma garantia institucional quanto um direito subjetivo . Isso limita o legislador e exige a realização de uma política condizente com esses direitos, sendo inconstitucionais quaisquer medidas estatais que, sem a criaç ão de outros esquemas alternativos ou compensatórios, anulem, revoguem ou aniquilem o núcleo essencial desses direitos. Os direitos fundamentais possuem uma dupla dimensão: i dimensão subjetiva e; ii dimensão objetiva. Na dimensão subjetiva , os direitos fundamentais são direitos exigíveis perante o Estado : as pessoas podem exigir que o Estado se abstenha de intervir indevidamente na esfera privada direitos de 1ª geração ou que o Estado atue ofertando prestações positivas, através de políticas e serviço s públicos direitos de 2ª geração. Já na dimensão objetiva , os direitos fundamentais são vistos como enunciados dotados de alta carga valorativa : eles são qualificados como princípios estruturantes do Estado, cuja eficácia se irradia para todo o ordename nto jurídico. TJPR  2019 Considerando se o surgimento e a evolução dos direitos fundamentais em gerações, é correto afirmar que o direito ao meio ambiente ecologicamente equilibrado é considerado, pela doutrina, direito de segunda geração. Comentários: O direito ao meio ambiente ecologicamente equilibrado é direito de 3ª geração"
"TRE PE  2017 É livre a manifestação d o pensamento, seja ela exercida por pessoa conhecida ou por pessoa anônima. Comentários: A CF88 proíbe o anonimato. Questão errada. TJBA 2015 É assegurada, nos termos da lei, a prestação de assistência religiosa nas entidades civis e militares de inte rnação coletiva. Comentários: Essa questão traz a literalidade do art. 5º, VII, CF88","PGE PE  2018 Os direitos destinados a assegurar a soberania popular mediante a possibilidade de interferência direta ou indireta nas decisões po líticas do Estado são direitos políticos de primeira dimensão. Comentários: São direitos de 1ª geração os direitos civis e políticos. Os direitos políticos são aqueles que estão relacionados à participação do indivíduo na vida política do Estado. Questão correta. DPE PR  2017 A dimensão subjetiva dos direitos fundamentais resulta de seu significado como princípios básicos da ordem constitucional, fazendo com que os direitos fundamentais influam sobre todo o ordenamento jurídico e servindo como norte de ação para os poderes constituídos. Comentários: A dimensão objetiva dos direitos fundamentais é que impõe que estes influam sobre todo o ordenamento jurídico. Nesse sentido, fala se em eficácia irradiante dos direitos fundamentais"
"26 Não existindo lei que estabeleça prestação alt ernativa , aquele que deixou de cumprir a obrigação legal a todos imposta não poderá ser privado de seus direitos. Fica claro que o direito à escusa de consciência será garantido em sua plenitude. A partir do momento em que o legislador edita norma fixando prestação alternativa , ele está restringindo o direito à escusa de consciência. Aquele que, além de descumprir a obrigação legal a todos imposta, se recusar a cumprir a prestação alternativa, será privado de seus direitos . . TRE GO  2015 Ninguém será privado de direitos por motivo de convicção política, salvo se as invocar para eximir se de obrigação legal a todos imposta e recusar se a cumprir prestação alternativa, fixada em lei. Essa norma constitucional, que trata da escusa de consciência , tem eficácia contida, podendo o legislador ordinário restringir tal garantia . Comentários: Conforme explicamos acima, a norma constitucional que trata da escusa de consciência é de eficácia contida . A lei poderá restringir esse direito","9 Comentários: Há alguns direitos que não podem ser titularizados por todas as pessoas. É o caso, por exemplo, d os direitos dos trabalhadores"
"31 admissível, é necessário que haja individualização do investigado e do objeto da investigação . Não é possível, portanto, a determinação da quebra do sigilo bancário para apuração de fatos genéricos. O STF entende que os dados bancários somente podem ser usados para os fins da investigação que lhes deu origem , não sendo possível seu uso quanto a terceiros estranhos à causa STF, INq. 923DF, 18.04.1996. Por fim, destaca se que, para o STF, não é necessária a oitiva do investigado para a determinação da quebra do sigilo bancário. Isso porque o princípio do contraditório não prevalece na fase inquisitorial STF, HC 55.447 e 69.372, RE 136.239, DJ de 24.03.1995. TJSC  2019 Em procedimentos de fiscalizaç ão da aplicação de recursos públicos, o TCU poderá decretar a quebra de sigilo bancário ou empresarial de terceiros. Comentários: Segundo o STF, o TCU pode requisitar às instituições financeiras informações sobre operações de crédito originárias de recursos públicos. Todavia, isso não consiste em quebra de sigilo bancário . Tais operações, por envolverem recursos públicos, não estão protegidas por sigilo bancário, prevalecendo os princípios da transparência e da publicidade. Questão err ada. TJPR  2017 Dado o dever fundamental de pagar tributos, não é oponível o sigilo de informações bancárias à administração tributária. Comentários: O STF considerou constitucional lei que prevê que as autoridades fiscais poderão requisitar às instituições financeiras informações protegidas por sigilo bancário. Isso se deve ao dever fundamental de pagar tributos","TRT 8 ª Região  2013 Os direitos fundamentais são personalíssimos, de forma que somente a própria pessoa pode a eles renunciar. Comentários: Os direitos fundamentais têm como característica a irrenunciabil idade"
SEFAZ MT  2014 A qu ebra do sigilo bancário ou fiscal pode ser determinada por Comissão Parlamentar de Inquérito. Comentários: As CPIs podem determinar a quebra do sigilo bancário ou fiscal,"12 TJCE  2018 A exclusão de sócio de associação privada sem fins lucrativos independe do contraditório e da ampla d efesa, desde que haja previsão estatutária. Comentários: Os direitos fundamentais têm eficácia horizontal , isto é, se aplicam nas relações entre particulares. Assim, na exclusão de sócio de associação privada sem fins lucrativos, devem ser garantidas a ampla defesa e o contraditório"
"40 absoluta de jurisdição, podendo as Comissões Parlamentares de Inquérito, segundo precedente do Supremo Tribunal Federal, ter acesso a tais dados sem a necessidade de ordem judicial. Comentários: O enunciado faz uma distinção acertada entre interceptação telefônica e quebra de sigilo telefônico. A interceptação telefônica só pode ser determinada pelo Poder Judiciário, ao passo que a quebra de sigilo telefônico pode ser determinada pelo Poder Judiciário ou por Comissão Parlamentar de Inqué rito CPI","PGE PR  2015 Os direitos fundamentais assegurados pela Constituição vinculam diretamente só os poderes público s, estando direcionados mediatamente à proteção dos particulares e apenas em face dos chamados poderes privados. Comentários: Os direitos fundamentais têm eficácia horizontal , aplicando se, também, às relações entre particulares. Destaque se que, no Brasi l, prevalece a tese da eficácia direta e imediata dos direitos fundamentais"
"45 conferida às associações por seu estatuto não é suficiente para legitimar a representação processual.66 É necessária autorização expressa, que p ode ser obtida mediante deliberação em assembleia ou individualmente filiado por filiado. Nesse sentido, s omente os associados que manifestaram sua autorização expressa é que estarão, a posteriori , legitimados para a execução do título judicial decorrent e da ação ajuizada pela associação. Aqueles associados que não manifestaram sua autorização expressa não poderão executar o título judicial decorrente da ação ajuizada pela associação. TCE MG  2015 Ninguém poderá ser compelido a se associar nem a per manecer associado. Comentários: É exatamente a literalidade do art. 5º, XX, CF88","13 pela doutrina como  direitos catalogados ; por sua vez, os direitos fundamentais previstos na CF88, mas fora do Título II, são conhecidos como  direitos nãocatalogados . CGE CE  2019 O rol dos direitos e das garantias fundamentais se esgota nos direitos e deveres indiv iduais, na nacionalidade e nos direitos políticos. Também se enquadram como direitos e garantias fundamentais os direitos sociais e os direitos relacionados à existência, organização e participação em partidos políticos"
"48 PCGO  2015 Se houver iminente perigo público, a autoridade competente poderá usar de prop riedade particular, assegurada ao proprietário indenização ulterior, se houver dano. Comentários: É o que prevê o art. 5º, XXV. No caso de iminente perigo público, a autoridade competente poderá usar de propriedade particular. Será devida indenização ulter ior apenas se houver dano","MPU  2015 Na CF, a classificação dos direitos e garantias fundamentais restringe se a três categorias: os direitos individuais e coletivos, os direitos de nacionalidade e os direitos políticos. Comentários: Pode se falar, ainda, na existência de outros dois grupos de dire itos: os direitos sociais e os direitos relacionados à existência, organização e participação em partidos políticos"
"MPE PR  2014 A previsão constitucional de que no caso de iminente perigo público, a autoridade competente poderá usar de propriedade particular, assegurada ao proprietário indenização ulterior, se houver dano  contempla o chamado direito de requisição. Comentários: É isso mesmo. Essa prerrogativa do Poder Público é denominada de requisição administrativa","15 deteria proteção jurídica.12 Assim, a interrupção da gravidez de feto anencéfalo não é tipificada como crime de aborto. Outra controvérsia levada à apreciação do STF envolvia a pesquisa com células tronco embrionárias. Segundo a Corte, é legítima e não ofende o direito à vida nem, t ampouco, a dignidade da pessoa humana, a realização de pesquisas com células tronco embrionárias, obtidas de embriões humanos produzidos por fertilização  in vitro  e não utilizados neste procedimento.13 Por fim, cabe destacar que nem mesmo o direito à vid a é absoluto , sendo admitida pela Constituição Federal de 1988 a pena de morte em caso de guerra declarada. A doutrina considera que, por se tratar de cláusula pétrea, emenda constitucional não pode estabelecer, no Brasil, novas hipóteses de pena de morte. Essa ampliação não poderia nem mesmo ser feita por meio de uma nova Constituição, em respeito ao princípio da vedação ao retrocesso.14 CGM João Pessoa  2018  Os direitos e as garantias fundamentais constitucionais estendem se aos estrangeiros em trânsito no território nacional, mas não às pessoas jurídicas, por falta de previsão constitucional expressa. Comentários: As pessoas jurídicas também são titulares de direitos fundamentais"
"51 QUESTÕES COMENTADAS Direitos e Deveres Individuais e Coletivos Parte 01 1. Quadrix  CRESS SC  2019 A criação de associações independe de autorização, sendo vedada a interferência estatal em seu funcionamento. Comentários: De fato, a Carta Magna determina que a criação de associações e, na forma da lei, a de cooperativas independem de autorização , sendo vedada a interferência estatal em seu funcionamento art. 5º, XVIII, CF","19 PGE RS  2015 Ao julgar a ação direta de inconstitucionalidade em que se questionava a inconstitucionalidade de lei determinando a fixação de cotas raciais em Universidades e ao julgar a ação declaratória de constitucionalidade em que se questionava a inconstitucionalidade da Lei Maria da Penha, o STF acolheu uma concepção formal de igua ldade, com o reconhecimento da vedação a toda e qualquer forma de discriminação, salvo a hip ótese de discriminação indireta. Comentários: Nas duas situações, o STF acolheu uma concepção material de igualdade. No primeiro caso cotas raciais, considerou se legítimo o uso de ações afirmativas pelo Estado; no segundo, o STF considerou legítimas medidas especiais para coibir a violência doméstica contra as mulheres. Em ambos os casos, aplicou se um tratamento desigual, mas para pessoas que estão em situações diferentes , o que está em conformidade com a ideia de igualdade material"
